Name,Surename,Country,Ranking,Points,Date,Event,Discipline,Category,Location
B-Boy Mattix - Mattia,Zerlotin,ITA,21,33,16-Apr-22,BfG Challenge Series,Breaking,Adult,Cambrils - Spain
B-Boy Jet Leg - Simone,Arasi,ITA,24,200,15-Dec-23,BfG World Series,Breaking,Adult,"Hong Kong - Hong Kong, China"
B-Boy Jet Leg - Simone,Arasi,ITA,36,,23-Sep-23,World Championship,Breaking,Adult,Leuven - Belgium
B-Boy Jet Leg - Simone,Arasi,ITA,26,200,30-Aug-23,BfG World Series,Breaking,Adult,Porto - Portugal
B-Boy Jet Leg - Simone,Arasi,ITA,0,,15-Jul-23,BfG International Series,Breaking,Adult,Rimini - Italy
B-Boy Jet Leg - Simone,Arasi,ITA,30,80,17-Jun-23,BfG International Series,Breaking,Adult,Madrid - Spain
B-Boy Jet Leg - Simone,Arasi,ITA,25,200,6-May-23,Continental Championship,Breaking,Adult,Almeria - Spain
B-Boy Jet Leg - Simone,Arasi,ITA,12,270,5-Nov-22,Continental Championship,Breaking,Adult,Manchester - England
B-Boy Jet Leg - Simone,Arasi,ITA,15,35,16-Apr-22,BfG Challenge Series,Breaking,Adult,Cambrils - Spain
B-Boy Hiro10 - Hiroto,Ono,JPN,3,650,15-Dec-23,BfG World Series,Breaking,Adult,"Hong Kong - Hong Kong, China"
B-Boy Hiro10 - Hiroto,Ono,JPN,6,380,1-Jul-23,Continental Championship,Breaking,Adult,Hangzhou - People's Republic of China
B-Boy Hiro10 - Hiroto,Ono,JPN,3,260,17-Jun-23,BfG International Series,Breaking,Adult,Madrid - Spain
B-Boy Hiro10 - Hiroto,Ono,JPN,3,260,3-Jun-23,BfG International Series,Breaking,Adult,Montreal - Canada
B-Boy Hiro10 - Hiroto,Ono,JPN,8,68,19-Nov-22,BfG Challenge Series,Breaking,Adult,Tokyo - Japan
B-Boy Hiro10 - Hiroto,Ono,JPN,45,100,21-Oct-22,World Championship,Breaking,Adult,Seoul - South Korea
B-Boy Hiro10 - Hiroto,Ono,JPN,38,60,26-May-22,BfG World Series,Breaking,Adult,Montpellier - France
